abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
diminish	L07 U03	[dɪˈmɪnɪʃ][sound:diminish.mp3]<br />		<hr /><strong>构词</strong>　【根】di-[de-, down]+min[small]+-ish[v.], make small down, （使）小下来→v.（使）变小，（使）减少；小看，将（价值或影响力）低估→v.轻视，贬低<br /><strong>词根</strong>　<strong>min</strong>　词根min有“small[小]”和“jut[突出]”两层含义，合起来可以看做“突出的小尖”。<br />　　　（1）词根min的一个常见含义表示“小”，例如“迷你”就来源于mini的音译；minister[大臣]原指（相对于国王来讲的）“小[min (i）]人[-ster]、手下”；<br />　　　（2）词根min的另外一个含义是“突出”，这层含义与（1）的联系是“突出的尖端”很小。mountain[山]（看做与词根min元音替换）相对于地球来讲，就是“突出的（小尖）”。<br /><strong>同根</strong>　diminish, eminent, menace, menial, minatory, mince, minimize, miniscule, minute, preeminent<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>（使）变小，（使）减少：</ins></strong>to（cause to）become <strong><ins>smaller</ins></strong> or <strong><ins>less</ins></strong><br /><strong>例</strong>　diminish an army's strength　削弱军队力量<br />　　The sound of the train diminished as our distance from it increased．当我们距离火车越远时，火车的声音就越小。<br /><strong>近</strong>　abate, dwindle, lessen, lower, reduce, decline<br /><strong>反</strong>　aggrandize, amplify, augment, boost, enlarge, escalate, expand, increase, raise, balloon　增加，增大<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>轻视，贬低：</ins></strong>to <strong><ins>lessen</ins></strong> the authority, dignity, or reputation of: <strong><ins>belittle</ins></strong><br /><strong>例</strong>　diminish a rival's accomplishments　贬低对手的成就<br /><strong>近</strong>　belittle, deprecate, depreciate, disparage<br /><strong>反</strong>　acclaim, applaud, exalt, extol, glorify, laud, praise　赞美<br />
disquisition	L07 U03	[ˌdɪskwɪˈzɪʃn][sound:disquisition.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>专题论文：</ins></strong>a <strong><ins>systematic search</ins></strong> for the truth or facts about something<br /><strong>例</strong>　Adam Smith's celebrated disquisition on the factors contributing to the wealth of nations　亚当斯密关于导致国家财富的因素的专题论文<br /><strong>近</strong>　delving, inquiry, examination, exploration, inquisition, probing<br />
demography	L07 U04	[dɪˈmɑːɡrəfi][sound:demography.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>人口统计学：</ins></strong>the study of <strong><ins>changes</ins></strong> (such as the number of births, deaths, marriages, and illnesses) that occur over a period of time <strong><ins>in human populations</ins></strong><br /><strong>例</strong>　Even if you look at countries in the same income bracket, there are plenty of factors, from demography to culture, that confuse the picture．即使观察处在相同收入等级的国家，也有众多的因素如从人口分布到文化差异使情况变得复杂。<br />
dingy	L07 U04	[ˈdɪndʒi][sound:dingy.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>昏暗的；肮脏的：</ins></strong><strong><ins>darkened</ins></strong> with smoke and grime; <strong><ins>dirty</ins></strong> or discolored<br /><strong>例</strong>　A dingy room is always Dickensian image of the poor．一个肮脏而昏暗的房间经常作为狄更斯时代的穷人形象。<br />　　The bed sheets were pretty dingy so we threw them in the laundry pile．床单太脏了，我们把它扔进了脏衣服堆。<br /><strong>近</strong>　darkened, dirty, bedraggled, bemired, besmirched, dusty, mucky, muddy, nasty, smudged, soiled, sordid, stained, sullied<br /><strong>反</strong>　clean, cleanly, immaculate, spotless, stainless, unsoiled, unstained, unsullied　干净的<br />
diocesan	L07 U04	[daɪˈɑːsɪsn][sound:diocesan.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>主教管辖区的：</ins></strong>of or relating to a <strong><ins>diocese</ins></strong><br /><strong>例</strong>　national or diocesan authority　国家或教区权利<br /><strong>反</strong>　ecumenical　世界范围的<br />
diplomatic	L07 U04	[ˌdɪpləˈmætɪk][sound:diplomatic.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>使用策略的，机智的：</ins></strong>employing <strong><ins>tact</ins></strong> and conciliation especially in situations of stress<br /><strong>例</strong>　be very diplomatic with awkward clients　总是有办法对付难缠的顾客<br /><strong>近</strong>　politic<br /><strong>反</strong>　gauche, impolitic, tactless, undiplomatic, untactful　笨拙的，不机智的<br />
dire	L07 U04	[ˈdaɪər][sound:dire.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>可怕的，恐怖的：</ins></strong>causing <strong><ins>fear</ins></strong><br /><strong>例</strong>　dire consequences　可怕的后果<br /><strong>近</strong>　alarming, direful, dread, dreadful, fearsome, forbidding, formidable, frightening, frightful, ghastly, hair-raising, horrendous, horrible, horrifying, intimidating, redoubtable, scary, shocking, terrible, terrifying<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>迫切的：</ins></strong>needing <strong><ins>immediate</ins></strong> attention; <strong><ins>urgent</ins></strong><br /><strong>例</strong>　There is a dire need for food and medicine in the famine-stricken country．在闹饥荒的国家迫切需要食物和药品。<br /><strong>近</strong>　immediate, burning, compelling, critical, crying, emergent, exigent, imperative, imperious, importunate, instant, necessitous, pressing, urgent<br /><strong>反</strong>　nonurgent, noncritical　不迫切的<br />
disabuse	L07 U04	[ˌdɪsəˈbjuːz][sound:disabuse.mp3]<br />		<hr /><strong>构词</strong>　【记】dis-[opposite of]+abuse, opposite of“abuse”, 使回归“正确的使用”→vt.打消错误念头，纠正<br /><strong>词根</strong>　<strong>use</strong>　<br /><strong>同根</strong>　abuse, disabuse, peruse<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>打消错误念头，纠正：</ins></strong>to <strong><ins>free from error</ins></strong>, <strong><ins>fallacy</ins></strong>, or <strong><ins>misconception</ins></strong><br /><strong>例</strong>　disabuse sb of the notion that..．　打消某人的…观点<br />　　I must disabuse you of your feelings of grandeur．我必须消除你的傲气。<br /><strong>近</strong>　disenchant, undeceive<br /><strong>反</strong>　lead into error　导致错误；mislead　误导<br />
disaffected	L07 U04	[ˌdɪsəˈfektɪd][sound:disaffected.mp3]<br />		<hr /><strong>构词</strong>　【记】dis-[away]+affect[感情]+-ed[a.], 感情上背离→a.不满的，叛逆的<br /><strong>词根</strong>　<strong>fac (t), fect, feit</strong>　词根fac (t）以及同源词根fect, feit表示“做[do, make]”。例如factory[工厂]就是“做、制造[fact]（东西）的地方[-ory]”。effect指“做[fect]出[ef-=ex-]的结果”。<br /><strong>同根</strong>　facilitate, faction, affectation, disaffected, disinfect, feckless, counterfeit, surfeit, forfeit<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>不满的，叛逆的：</ins></strong><strong><ins>discontented</ins></strong> and resentful especially against authority; <strong><ins>rebellious</ins></strong><br /><strong>例</strong>　gangs of disaffected teenagers　一群叛逆的年轻人<br />　　The soldiers were disaffected toward the government．那些士兵对政府不满。<br /><strong>近</strong>　discontented, dissatisfied, malcontent, rebellious, insubordinate, contumacious<br /><strong>反</strong>　satisfied, contented　满足的<br /><strong>派</strong>　disaffect vt．使不安，使不满：to fill with discontent and unrest<br />　　<strong>近</strong>　dissatisfy, agitate, upset<br />　　<strong>反</strong>　mollify　平息，抚慰<br />
disarm	L07 U04	[dɪsˈɑːrm][sound:disarm.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使息怒，平息，抚慰：</ins></strong>to <strong><ins>lessen</ins></strong> the anger or agitation of<br /><strong>例</strong>　disarm her anger　平息她的怒气<br /><strong>近</strong>　appease, assuage, conciliate, gentle, mollify, placate, propitiate<br /><strong>反</strong>　anger, enrage, incense, inflame, enflame, infuriate, ire, madden, outrage　煽动，激起<br />
disarray	L07 U04	[ˌdɪsəˈreɪ][sound:disarray.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>混乱，无秩序：</ins></strong>a <strong><ins>lack</ins></strong> of <strong><ins>order</ins></strong> or sequence vt．<strong><ins>使混乱：</ins></strong>to <strong><ins>undo</ins></strong> the proper <strong><ins>order</ins></strong> or <strong><ins>arrangement</ins></strong> of<br /><strong>例</strong>　The room was in disarray．房间一片混乱。<br /><strong>近</strong>　confusion, disarrangement, disorder, disorderliness, disorganization, havoc, mess, messiness, misorder, muddle, muss, shambles, jumble, welter; confuse, disarrange, discompose, dishevel, dislocate, disorganize, disrupt, disturb, hash, jumble, muddle, muss, rumple, scramble, upset, mess up, mix up<br /><strong>反</strong>　order, orderliness　有序；arrange, array, dispose, order, organize, range, regulate, straighten up　使有序<br />
disavow	L07 U04	[ˌdɪsəˈvaʊ][sound:disavow.mp3]<br />		<hr /><strong>构词</strong>　【根】dis-[not, oppositeof]+avow[avow, 承认], opposite of“avow”→vt.拒绝承认，否认<br /><strong>词根</strong>　<strong>vow</strong>　词根vow表示speak solemnly[郑重地说], vow作为单词的含义是“发誓”。<br /><strong>同根</strong>　avowal, disavow<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>拒绝承认，否认：</ins></strong>to <strong><ins>disclaim</ins></strong> knowledge of, responsibility for, or association with; to declare <strong><ins>not</ins></strong> to be <strong><ins>true</ins></strong><br /><strong>例</strong>　disavow the rumor　否认谣言<br />　　She disavowed the testimony that she had given earlier in the trial．她在审判中否认了自己之前的证词。<br /><strong>近</strong>　deny, repudiate, disaffirm, disclaim, disconfirm, gainsay, negate<br /><strong>反</strong>　acknowledge, avow, concede　承认<br />
discern	L07 U05	[dɪˈsзːrn][sound:discern.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>识别，辨别差异：</ins></strong>to <strong><ins>perceive</ins></strong> with the eyes or intellect; <strong><ins>detect</ins></strong><br /><strong>例</strong>　discern the motives　辨识出动机<br />　　too young to discern between right and wrong　太年轻了而辨别不了是非<br /><strong>近</strong>　behold, descry, distinguish, espy, perceive, regard, differentiate, discriminate<br /><strong>反</strong>　confuse, mix up　混淆<br /><strong>派</strong>　discerning adj．有洞察力的，洞悉的：showing insight and understanding<br />　　<strong>例</strong>　a very discerning art critic　眼光敏锐有洞察力的艺术评论家<br />　　　　She has a discerning palate．她的味觉很敏锐。<br />　　<strong>近</strong>　insightful, incisive<br />　　<strong>反</strong>　myopic, shortsighted　目光短浅的；undiscerning　无辨别能力的<br /><strong>派</strong>　discernible/discernable adj．可辨识的，可辨别的：perceptible<br />　　<strong>例</strong>　a discernible mark　可辨别的痕迹<br />　　<strong>近</strong>　perceptible, detectable, distinguishable<br />　　<strong>反</strong>　indiscernible, imperceptible　不可辨识的<br />
discharge	L07 U05	[dɪsˈtʃɑːrdʒ][sound:discharge.mp3]<br />		<hr /><strong>构词</strong>　【根】dis-[opposite of]+charge[v., hold], opposite of“hold”, “放走”→v.解雇；释放；不承担责任<br />　　　【注】charge[v.掌握]，词组take charge of[接管，负责]<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>解雇：</ins></strong>to <strong><ins>dismiss</ins></strong> from employment<br /><strong>例</strong>　discharge a worker/soldier　开除员工/军籍<br /><strong>近</strong>　fire, dismiss<br /><strong>反</strong>　employ, engage, hire, take on, sign up or on　雇佣<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>释放：</ins></strong>to set <strong><ins>free</ins></strong> (as from slavery or confinement)<br /><strong>例</strong>　discharge the prisoners upon the signing of the peace treaty　根据和平条约释放罪犯<br /><strong>近</strong>　disenthrall, emancipate, enfranchise, liberate, loose, manumit, release, spring, unbind, uncage, unchain, unfetter<br /><strong>反</strong>　bind, confine, enchain, fetter　监禁，束缚<br />
disciple	L07 U05	[dɪˈsaɪpl][sound:disciple.mp3]<br />		<hr /><strong>构词</strong>　【根】dis-[away]+cip[take]+-le[n.], people whotakes away (doctrines), 带走[接受]教义的人→n.信徒，追随者<br /><strong>词根</strong>　<strong>cap, capt, cept, cip, cup</strong>　这些词根都表示seize[抓]或take[拿]，有着相同的词源。它们的拼写区别在于元音字母的不同，以及词根末尾的t。下面是由它们组成的一些单词：<br />　　　（1）capacity[容量]就是amount one could take[cap], 即一个容器能“拿”多少；<br />　　　（2）capture[捕获]相当于seize[capt]；<br />　　　（3）except[除…外]字面含义“take[cept]...out[ex-]”;accept[接受]是指“to[ac-=ad-]take[cept]”；<br />　　　（4）participate[参与]相当于“take[cip]part (in)”；<br />　　　（5）occupy[占用；占领]字面含义“to take[cup]over[oc-=ob-]”。<br /><strong>同根</strong>　captious, captivate, inception, exceptional, unexceptionable, perceptible, perceptive, susceptibility, disciple, emancipate, incipient, principal, preoccupation, recuperate<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>信徒，追随者：</ins></strong>one who accepts and assists in spreading the doctrines of another, <strong><ins>follower</ins></strong><br /><strong>例</strong>　A circle of dedicated disciples who conscientiously wrote down everything the prophet said．一圈忠实的信徒认真地记下了先知所说的话。<br /><strong>近</strong>　acolyte, adherent, convert, epigone, partisan, votary<br /><strong>反</strong>　leader, coryphaeus　领导者<br />
discombobulate	L07 U05	[ˌdɪskəmˈbɑːbjuleɪt][sound:discombobulate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使不安，使混乱：</ins></strong><strong><ins>upset</ins></strong>, <strong><ins>confuse</ins></strong><br /><strong>例</strong>　invent cool new ways to discombobulate the old order　发明新的好方法打乱了旧秩序<br /><strong>近</strong>　upset, addle, baffle, bamboozle, befog, befuddle, confound, fuddle, gravel, muddle, muddy, mystify, perplex, puzzle, vex<br /><strong>反</strong>　compose, soothe, calm, pacify　使安定<br />
discomfit	L07 U05	[dɪsˈkʌmfɪt][sound:discomfit.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使尴尬：</ins></strong>to put into a state of perplexity and <strong><ins>embarrassment</ins></strong><br /><strong>例</strong>　He was discomfited by the awkward situation of having his ex-girlfriend meet his current one．他的前女友看到他现任女友的情况让他很尴尬。<br /><strong>近</strong>　embarrass, abash, faze, fluster, mortify, nonplus, rattle<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>阻碍：</ins></strong>to <strong><ins>prevent</ins></strong> from achieving a goal<br /><strong>例</strong>　Constant interruptions discomfited her in her attempt to finish the speech．经常打断她讲话导致她无法完成演讲。<br /><strong>近</strong>　balk, foil, thwart, baffle, checkmate<br /><strong>反</strong>　advance, forward, foster, further, promote　推进，促进；encourage　鼓励<br />
